NSR_organism	NSR_ID	BOLD_organism	BOLD_ID
Anatoecus icterodes	Z1RFPX81Q55	Anatoecus icterodes	GBMHP632-19
Acaena ovalifolia	Z1MDCKNT50C	Acaena ovalifolia	EDTOL1358-23
Juncus marginatus	Z1HRRF3UZR8	Juncus marginatus	BBYUK1939-12
Acoenonia europaea	Z0OGBP5IOE3	Acoenonia europaea	GBART35890-23
Sipunculus nudus	Z02LVTPUYY1	Sipunculus nudus	GBAN5142-13
Phyllonorycter apparella	YZWKKK4DHZ1	Phyllonorycter apparella	CNPKM710-14
Cystoderma jasonis	YZEBE318355	Cystoderma jasonis	NAMPB071-20
Entoloma violaceoserrulatum	YZ55RGCO3UX	Entoloma violaceoserrulatum	CAFUN045-17
Metridia lucens	YYULGB2LTA1	Metridia lucens	BIPOL158-09
Plagiorchis muelleri	YYQ5599LOBC	Plagiorchis muelleri	GBMNF41982-22
Saissetia cf. privigna	YYP8OTTM2IZ	Niphargus stygius 10.4	GBCM12184-19
Rubus schlechtendalii	YYLPXRCXX4N	Rubus schlechtendalii	GBVX6925-15
Eueremaeus silvestris	YYJYI0QU4M0	Eueremaeus silvestris	AGRDK066-18
Cochlearia acaulis	YYG2WICKSIF	Cochlearia acaulis	GBVE3297-11
Lactarius aurantiacus	YYFEJ1JU87K	Lactarius aurantiacus	GBRUS2524-13
Juglans nigra	YY8AJ0XSEAN	Juglans nigra	EBLF1613-22
Phytomyza bipunctata	YXWSNMGEQ1Q	Phytomyza bipunctata	UKAN314-22
Dolichoderus thoracicus	YXTSNR08KOB	Dolichoderus thoracicus	GBMNF38606-22
Chelicorophium robustum	YXRG1ME2GX4	Chelicorophium robustum	DCCPC052-22
Thesium ebracteatum	YXIK5395WGJ	Thesium ebracteatum	FGB173-19
Alternanthera pungens	YX4OJ7M9T6W	Alternanthera pungens	GBITS15945-21
Mimulus ringens	YX45EI64RBE	Mimulus ringens	GBITS33944-21
Pterocallis maculata	YWSII6QUFNJ	Pterocallis maculata	GBMIN66607-17
Symphyotrichum squamatum	YWPFES6SLXM	Symphyotrichum squamatum	GBVO4577-11
Ribes petraeum	YWLKSCCR4AJ	Ribes petraeum	GBITS52431-21
Karsholtia marianii	YW96SPK3VGQ	Karsholtia marianii	FGMLD654-13
Allium moly	YVXGPO9J840	Allium moly	ITSAB2813-14
Sibinia pellucens	YV94JPI8JEB	Sibinia pellucens	FBCOI847-12
Otiorhynchus meridionalis	YV223M5X9HJ	Otiorhynchus meridionalis	COLAB126-16
Parajassa pelagica	YV0VTHMVHVE	Parajassa pelagica	DECNB319-17
Limnodriloides scandinavicus	YUCA2UXTJ6Q	Limnodriloides scandinavicus	NONAI073-15
Nomada duplex	YTRQEX3NKYP	Nomada duplex	IBIHM120-21
Scolelepis foliosa	YTKH5DRG1OL	Scolelepis foliosa	GBMND30275-21
Cardamine graeca	YSRTHLFLQEQ	Cardamine graeca	ITSAE4127-14
Enicospilus adustus	YSQUHWY36MD	Enicospilus adustus	BCHYM2588-14
Phoronis muelleri	YRWAH9FIMMZ	Phoronis muelleri	BNSB270-23
Campsis radicans	YRM3M7X4090	Campsis radicans	GBVK2077-11
Pratylenchus zeae	YR8MHCUPNVP	Pratylenchus zeae	GBMNA2336-19
Amaranthus watsonii	YQL2T8BY6SZ	Amaranthus watsonii	SDH105-14
Disparalona hamata	YQIDAJPKTYF	Disparalona hamata	ZOOPS136-18
Viburnum carlesii	YQCVBEPEZ39	Viburnum carlesii	GBVF2093-11
Nigma puella	YQCBS6SV3HC	Nigma puella	DTNHM8088-23
Phaeosphaeria lycopodina	YQ9GT34Y7YZ	Phaeosphaeria lycopodina	GBPLE4519-15
Capronia mansonii	YQ3IX7KI4EF	Capronia mansonii	GBSO13556-15
Darmera peltata	YQ1PTAO1X2K	Darmera peltata	GBITS52686-21
Amaranthus viridis	YPWF2C5U1OS	Amaranthus viridis	BBYUK196-12
Otidea tuomikoskii	YPFC51NLTH8	Otidea tuomikoskii	GBPEZ1528-13
Ameronothrus nigrofemoratus	YPC7O7FFOC3	Ameronothrus nigrofemoratus	ACHAR2506-18
Isolepis cernua	YPARG87GOC1	Isolepis cernua	EDTOL1014-22
Cerastium dubium	YP9KGPJ9SBI	Cerastium dubium	GBITS16084-21
Amanita battarrae	YP5QB16F7PO	Amanita battarrae	GBAGA11002-15
Isorhipis melasoides	YOZB71M4MB8	Isorhipis melasoides	FBCOB985-10
Rhynchophorus ferrugineus	YORAAYKUT86	Rhynchophorus ferrugineus	GBCL46954-19
Entoloma chalybaeum	YOMGR5K9OLP	Entoloma chalybaeum	FABOL346-21
Dasineura geranii	YO8Y8P0U1VL	Dasineura geranii	NOCEC154-22
Himantoglossum robertianum	YO7PCKG4B9I	Himantoglossum robertianum	GBVB3592-11
Phlox subulata	YO4HFX37BGT	Phlox subulata	HIMS1602-12
Hibiscus syriacus	YNSYPS5WG33	Hibiscus syriacus	EBLF481-22
Asplenium obovatum	YNHJX13SZ5L	Asplenium obovatum	NBFCP365-24
Mustela nivalis	YNETUJ6V2NT	Mustela nivalis	ABMC106-05
Chaetopterus variopedatus	YNEOIB928VT	Chaetopterus variopedatus	DISMA033-17
Stylops ater	YMXRRF7B9AL	Stylops ater	FIDIP4484-17
Euphorbia chamaesyce	YMLJI01TSYC	Euphorbia chamaesyce	GBITS37029-21
Amanita muscaria	YMKQBZ9ZOP7	Amanita muscaria	ANTIC135-20
Nemania serpens	YMCCNIUO1IN	Nemania serpens	GBFSD47348-24
Melanconiella decorahensis	YMBB29QX7W2	Melanconiella decorahensis	GBDIA1455-13
Nemopoda speiseri	YM7RE77CUJV	Nemopoda speiseri	BCFOR516-15
Schkuhria pinnata	YM58M33CT1X	Schkuhria pinnata	GBITS10218-21
Hysterium acuminatum	YLSNNJOHII5	Hysterium acuminatum	OFASC055-16
Allium karataviense	YL2IF61TEIL	Allium karataviense	GBITS4956-21
Asca bicornis	YKTOS24IZZ8	Asca bicornis	MSSCA1154-16
Youngia japonica	YKOMDYS6CMZ	Youngia japonica	CSU013-10
Megalothorax incertus	YKEV3ETLPXA	Megalothorax incertus	GBART27983-23
Exochorda racemosa	YKDUP9DJ94B	Exochorda racemosa	EBLF1721-22
Leonurus sibiricus	YKB43ZD32RG	Leonurus sibiricus	GBITS31674-21
Hylaeus pictus	YJYDN92E9AL	Hylaeus pictus	CODAB1214-22
Arhythmorhynchus frassoni	YJY9JXDXND9	Arhythmorhynchus frassoni	GBINV15501-23
Mespilus germanica	YJSAUWFICB5	Mespilus germanica	FPUK903-14
Micrasema minimum	YJQ9WPDC4E7	Micrasema minimum	FBAQU151-09
Eumida sanguinea	YJHYN0KCSUS	Eumida sanguinea	GBAN5484-14
Phuopsis stylosa	YJEAPHO9773	Phuopsis stylosa	GBVJ4293-11
Mirabilis longiflora	YJDTLZM2CYG	Mirabilis longiflora	GBITS17576-21
Baylisascaris procyonis	YJ4OWYOAP5V	Baylisascaris procyonis	GBMNA1052-19
Dysaphis crataegi	YIFFS2I0QA8	Dysaphis crataegi	ACEA223-14
Parmelia ernstiae	YIEA3T5DSQX	Parmelia ernstiae	GBLEC1136-13
Edaphus lederi	YI2SF4SO5DC	Edaphus lederi	ELPCG5859-17
Erica ciliaris	YI2SBGIBAJ3	Erica ciliaris	EDTOL124-21
Nerium oleander	YHX1RT42HL4	Nerium oleander	AGOP086-12
Wolffia columbiana	YHKMQYZ3CLT	Wolffia columbiana	GBITS3133-21
Proctodrilus tuberculatus	YGYHEB6FGFO	Proctodrilus tuberculatus	GBAN11103-19
Psilus cornutus	YGPNX4W25O3	Psilus cornutus	GBDTA16310-21
Erythronium grandiflorum	YGPC4FK2C3B	Erythronium grandiflorum	GBITS35528-21
Acalypha australis	YGFC4BI6Q4S	Acalypha australis	GBITS36401-21
Lonicera japonica	YGDHNRH6S53	Lonicera japonica	BBYUK819-12
Aster tongolensis	YG4DPMAJMI3	Aster tongolensis	GBITS9778-21
Vicia narbonensis	YFUZXD71BNK	Vicia narbonensis	FBPL1603-13
Meloidogyne graminicola	YFIO2QQOPVW	Meloidogyne graminicola	GBMNA3081-19
Cerebratulus fuscus	YFB1N6J5MJT	Cerebratulus fuscus	ADMAB088-23
Collomia grandiflora	YEX2MIBD2RO	Collomia grandiflora	BBYUK1321-12
Aquilegia chrysantha	YEGTMI4ER38	Aquilegia chrysantha	GBVJ319-11
Trichoglossum walteri	YE7OVZJN89Y	Trichoglossum walteri	GBHEL1929-15
Lycopus exaltatus	YE5I9E8ZCK9	Lycopus exaltatus	ITSAD1873-14
Pseudobradya minor	YDWA7EPEK0R	Pseudobradya minor	BNSC628-15
Lepidium austrinum	YDQUCH18MJH	Lepidium austrinum	ITSAB3974-14
Livilla variegata	YDPC3XDY4RK	Livilla variegata	GBMHH22082-19
Cotula australis	YDKQHBWT0D0	Cotula australis	GBITS9591-21
Tetrastichus temporalis	YDIBUKUG4I7	Tetrastichus temporalis	BCHYM11795-15
Technomyrmex albipes	YD72XGEDZZL	Technomyrmex albipes	ASAMI406-07
Lactarius uvidus	YCW8BXVNELD	Lactarius uvidus	ECMAM100-10
Furcaspis biformis	YCTOSZRJ96H	Furcaspis biformis	BQC196-10
Dysmicoccus brevipes	YCFD4F5M6AY	Dysmicoccus brevipes	DSPKJ113-09
Ruditapes philippinarum	YC8JO9CM5LJ	Ruditapes philippinarum	GBCIN3699-23
Paracyclops imminutus	YBZFD8Y9MJF	Paracyclops imminutus	BSNTN2212-24
Pelodiscus sinensis	YAT39AET1G7	Pelodiscus sinensis	GBGC12009-13
Neodiprion abietis	YALE2V68WFS	Neodiprion abietis	BBHYL947-10
Fallopia cilinodis	YAHF5HUJCT1	Fallopia cilinodis	FPOON010-16
Parathalestris harpactoides	YA83ZYBL0N1	Parathalestris harpactoides	HYPCO019-20
Casinaria subglabra	YA2ME92ONJC	Casinaria subglabra	ANBIO429-22
Nereis pelagica	YA07G4GJSSE	Nereis pelagica	ADMAB038-23
Filago congesta	Y9MIVHX5GON	Filago congesta	ITSAJ2196-14
Anacyclus valentinus	Y9D0NPI2AZW	Anacyclus valentinus	GBVN1359-11
Entoloma minutum	Y8RVXVFQHXN	Entoloma minutum	NOBAS1375-15
Hypocrea leucopus	Y8NZF5MQIKX	Hypocrea leucopus	GBHYP6194-13
Doris verrucosa	Y8CYMCWYQF4	Doris verrucosa	BSUIO234-24
Caprella equilibra	Y7XXWW9VKD9	Caprella equilibra	DUTCH763-23
Cryptosporella betulae	Y7VMVS2NSYM	Cryptosporella betulae	GBDIA2368-15
Messor barbarus	Y7QHEXMINKE	Messor barbarus	ANTEU1247-22
Liriomyza phryne	Y6ROFRJN9R3	Liriomyza phryne	FIMYC246-14
Boletus calopus	Y6IEAS5COWG	Boletus calopus	GBBOL1650-13
Pseudoparlatoria parlatorioides	Y6CMJUF1TIU	Pseudoparlatoria parlatorioides	GBMHH22951-19
Oestophora barbula	Y6AK8FSFDFE	Oestophora barbula	GBMIN5722-12
Orchomenella minuta	Y68Q6398T3P	Orchomenella minuta	CCNUN038-07
Phytomyza tetrasticha	Y67UWI7LQMX	Phytomyza tetrasticha	GBDP4432-08
Trichuris suis	Y6604JTZBX6	Trichuris suis	GBCNM1270-24
Cricotopus pilosellus	Y62UKLVZ2RT	Cricotopus pilosellus	ATNA563-10
Gibbula magus	Y5FLFX8HSSO	Gibbula magus	GBINV35709-23
Lactarius violascens	Y5BVK9BS6BA	Lactarius violascens	NOBAS3084-16
Bidens schimperi	Y4VORXQ40QV	Bidens schimperi	GBITS10292-21
Pseudosmittia albipennis	Y4S23B87DZR	Pseudosmittia albipennis	BSCHI275-17
Parapholis filiformis	Y4GUG3C7DW7	Parapholis filiformis	GBITS68022-21
Ophiognomonia leptostyla	Y42GIK9P7ML	Ophiognomonia leptostyla	GBDIA2454-15
Cephalothrix simula	Y3WTMB9Q2SZ	Cephalothrix simula	GBMAA378-14
Orthotrichum comosum	Y3LA5XSGHLK	Orthotrichum comosum	PGBMA6738-20
Araucaria heterophylla	Y3EYVBKUDIA	Araucaria heterophylla	EBLF322-22
Lactarius hysginus	Y2Z57RV74C8	Lactarius hysginus	GBRUS2814-15
Uromyces appendiculatus	Y2VOSJNC1DU	Uromyces appendiculatus	GBPLU141-13
Leptochloa fusca	Y2V5138WXNI	Leptochloa fusca	GBVD3949-11
Iberis odorata	Y2RNPRXQBQS	Iberis odorata	GBVS354-13
Euphthiracarus monodactylus	Y2HVVAWH2PB	Euphthiracarus monodactylus	BSOIL167-16
Myxilla rosacea	Y27WQH7IYGP	Myxilla rosacea	GBSP11264-19
Mantis religiosa	Y27UYA8Q24P	Mantis religiosa	DBMC093-21
Hordeum murinum	Y23NWIJ4QZL	Hordeum murinum	GBVS1570-13
Psylliostachys suworowii	Y1SWH5KAYBT	Psylliostachys suworowii	GBVI2092-11
Cortinarius diasemospermus	Y1LAKN7PQGH	Cortinarius diasemospermus	FABOL744-21
Allium subhirsutum	Y17JFTS0G1M	Allium subhirsutum	GBVB1912-11
Stenopleustes latipes	Y14RKDLXJC	Stenopleustes latipes	AMPNB569-17
Wisteria sinensis	Y13TRH5XCII	Wisteria sinensis	EBLF1061-22
Alyssum simplex	Y13NFI2OZZ4	Alyssum simplex	DPC1591-21
Symphoricarpos orbiculatus	Y0P22TMNQQG	Symphoricarpos orbiculatus	GBITS19962-21
Eniochthonius minutissimus	Y0D0U7SVBNS	Eniochthonius minutissimus	GBART26016-23
Iania pictifrons	XZSNZ6U9NMU	Iania pictifrons	DTNHM4321-22
Tremella mesenterica	XZO87WRDQT8	Tremella mesenterica	ARG003-08
Phyllodoce groenlandica	XZIJIP9GLK5	Phyllodoce groenlandica	BHAK1271-18
Phaeographis dendritica	XZBU2JRVDJ1	Phaeographis dendritica	KFNGI237-19
Urtica pilulifera	XYT1H4S0TAZ	Urtica pilulifera	ITSAP2479-14
Pholoe baltica	XYAUDLB04WO	Pholoe baltica	CCANN814-09
Leucospis dorsigera	XY3X4SEHPZ2	Leucospis dorsigera	BCHYM12160-15
